,n,L,total_attempts,total_successes,total_collisions,collision_rate,success_rate,throughput,per_node
0,20,1,6710,3588,3122,0.46527570789865874,0.5347242921013413,0.3588,"[{'tx': 286, 'success': 155, 'collisions': 131}, {'tx': 445, 'success': 247, 'collisions': 198}, {'tx': 375, 'success': 207, 'collisions': 168}, {'tx': 170, 'success': 81, 'collisions': 89}, {'tx': 260, 'success': 134, 'collisions': 126}, {'tx': 205, 'success': 114, 'collisions': 91}, {'tx': 98, 'success': 42, 'collisions': 56}, {'tx': 359, 'success': 192, 'collisions': 167}, {'tx': 340, 'success': 176, 'collisions': 164}, {'tx': 445, 'success': 252, 'collisions': 193}, {'tx': 284, 'success': 150, 'collisions': 134}, {'tx': 389, 'success': 193, 'collisions': 196}, {'tx': 489, 'success': 273, 'collisions': 216}, {'tx': 185, 'success': 103, 'collisions': 82}, {'tx': 341, 'success': 188, 'collisions': 153}, {'tx': 483, 'success': 254, 'collisions': 229}, {'tx': 524, 'success': 283, 'collisions': 241}, {'tx': 308, 'success': 163, 'collisions': 145}, {'tx': 324, 'success': 171, 'collisions': 153}, {'tx': 400, 'success': 210, 'collisions': 190}]"
1,20,2,4525,2326,2199,0.48596685082872926,0.5140331491712707,0.4652,"[{'tx': 337, 'success': 181, 'collisions': 156}, {'tx': 187, 'success': 94, 'collisions': 93}, {'tx': 270, 'success': 136, 'collisions': 134}, {'tx': 215, 'success': 104, 'collisions': 111}, {'tx': 212, 'success': 112, 'collisions': 100}, {'tx': 260, 'success': 136, 'collisions': 124}, {'tx': 160, 'success': 79, 'collisions': 81}, {'tx': 238, 'success': 116, 'collisions': 122}, {'tx': 349, 'success': 191, 'collisions': 158}, {'tx': 161, 'success': 81, 'collisions': 80}, {'tx': 147, 'success': 77, 'collisions': 70}, {'tx': 90, 'success': 37, 'collisions': 53}, {'tx': 309, 'success': 163, 'collisions': 146}, {'tx': 171, 'success': 73, 'collisions': 98}, {'tx': 213, 'success': 116, 'collisions': 97}, {'tx': 267, 'success': 136, 'collisions': 131}, {'tx': 198, 'success': 107, 'collisions': 91}, {'tx': 237, 'success': 134, 'collisions': 103}, {'tx': 202, 'success': 98, 'collisions': 104}, {'tx': 302, 'success': 155, 'collisions': 147}]"
2,20,3,3446,1743,1703,0.4941961694718514,0.5058038305281486,0.5229,"[{'tx': 94, 'success': 45, 'collisions': 49}, {'tx': 263, 'success': 146, 'collisions': 117}, {'tx': 234, 'success': 124, 'collisions': 110}, {'tx': 244, 'success': 123, 'collisions': 121}, {'tx': 215, 'success': 116, 'collisions': 99}, {'tx': 169, 'success': 90, 'collisions': 79}, {'tx': 139, 'success': 65, 'collisions': 74}, {'tx': 141, 'success': 71, 'collisions': 70}, {'tx': 207, 'success': 97, 'collisions': 110}, {'tx': 119, 'success': 52, 'collisions': 67}, {'tx': 208, 'success': 120, 'collisions': 88}, {'tx': 229, 'success': 133, 'collisions': 96}, {'tx': 153, 'success': 70, 'collisions': 83}, {'tx': 207, 'success': 99, 'collisions': 108}, {'tx': 70, 'success': 30, 'collisions': 40}, {'tx': 164, 'success': 77, 'collisions': 87}, {'tx': 252, 'success': 133, 'collisions': 119}, {'tx': 119, 'success': 49, 'collisions': 70}, {'tx': 159, 'success': 82, 'collisions': 77}, {'tx': 60, 'success': 21, 'collisions': 39}]"
3,20,4,2738,1448,1290,0.47114682249817386,0.5288531775018261,0.5792,"[{'tx': 69, 'success': 35, 'collisions': 34}, {'tx': 241, 'success': 151, 'collisions': 90}, {'tx': 129, 'success': 62, 'collisions': 67}, {'tx': 120, 'success': 67, 'collisions': 53}, {'tx': 90, 'success': 39, 'collisions': 51}, {'tx': 100, 'success': 49, 'collisions': 51}, {'tx': 146, 'success': 76, 'collisions': 70}, {'tx': 132, 'success': 67, 'collisions': 65}, {'tx': 80, 'success': 37, 'collisions': 43}, {'tx': 184, 'success': 94, 'collisions': 90}, {'tx': 165, 'success': 91, 'collisions': 74}, {'tx': 110, 'success': 51, 'collisions': 59}, {'tx': 173, 'success': 94, 'collisions': 79}, {'tx': 107, 'success': 57, 'collisions': 50}, {'tx': 164, 'success': 85, 'collisions': 79}, {'tx': 236, 'success': 139, 'collisions': 97}, {'tx': 178, 'success': 96, 'collisions': 82}, {'tx': 108, 'success': 53, 'collisions': 55}, {'tx': 73, 'success': 39, 'collisions': 34}, {'tx': 133, 'success': 66, 'collisions': 67}]"
4,20,5,2325,1190,1135,0.4881720430107527,0.5118279569892473,0.595,"[{'tx': 146, 'success': 80, 'collisions': 66}, {'tx': 74, 'success': 33, 'collisions': 41}, {'tx': 165, 'success': 89, 'collisions': 76}, {'tx': 121, 'success': 66, 'collisions': 55}, {'tx': 193, 'success': 112, 'collisions': 81}, {'tx': 127, 'success': 66, 'collisions': 61}, {'tx': 32, 'success': 9, 'collisions': 23}, {'tx': 121, 'success': 60, 'collisions': 61}, {'tx': 102, 'success': 49, 'collisions': 53}, {'tx': 116, 'success': 56, 'collisions': 60}, {'tx': 65, 'success': 31, 'collisions': 34}, {'tx': 89, 'success': 38, 'collisions': 51}, {'tx': 66, 'success': 29, 'collisions': 37}, {'tx': 155, 'success': 77, 'collisions': 78}, {'tx': 135, 'success': 64, 'collisions': 71}, {'tx': 103, 'success': 57, 'collisions': 46}, {'tx': 195, 'success': 109, 'collisions': 86}, {'tx': 135, 'success': 64, 'collisions': 71}, {'tx': 34, 'success': 19, 'collisions': 15}, {'tx': 151, 'success': 82, 'collisions': 69}]"
5,20,6,1991,998,993,0.49874434957307884,0.5012556504269211,0.5988,"[{'tx': 41, 'success': 21, 'collisions': 20}, {'tx': 108, 'success': 62, 'collisions': 46}, {'tx': 168, 'success': 98, 'collisions': 70}, {'tx': 99, 'success': 50, 'collisions': 49}, {'tx': 108, 'success': 49, 'collisions': 59}, {'tx': 124, 'success': 73, 'collisions': 51}, {'tx': 72, 'success': 33, 'collisions': 39}, {'tx': 111, 'success': 59, 'collisions': 52}, {'tx': 104, 'success': 46, 'collisions': 58}, {'tx': 127, 'success': 60, 'collisions': 67}, {'tx': 32, 'success': 11, 'collisions': 21}, {'tx': 145, 'success': 73, 'collisions': 72}, {'tx': 106, 'success': 51, 'collisions': 55}, {'tx': 143, 'success': 79, 'collisions': 64}, {'tx': 26, 'success': 10, 'collisions': 16}, {'tx': 125, 'success': 60, 'collisions': 65}, {'tx': 100, 'success': 53, 'collisions': 47}, {'tx': 49, 'success': 21, 'collisions': 28}, {'tx': 83, 'success': 35, 'collisions': 48}, {'tx': 120, 'success': 54, 'collisions': 66}]"
6,20,7,1771,875,896,0.5059288537549407,0.49407114624505927,0.6125,"[{'tx': 75, 'success': 37, 'collisions': 38}, {'tx': 99, 'success': 48, 'collisions': 51}, {'tx': 64, 'success': 28, 'collisions': 36}, {'tx': 36, 'success': 10, 'collisions': 26}, {'tx': 34, 'success': 12, 'collisions': 22}, {'tx': 79, 'success': 37, 'collisions': 42}, {'tx': 84, 'success': 44, 'collisions': 40}, {'tx': 86, 'success': 39, 'collisions': 47}, {'tx': 77, 'success': 33, 'collisions': 44}, {'tx': 97, 'success': 47, 'collisions': 50}, {'tx': 137, 'success': 75, 'collisions': 62}, {'tx': 63, 'success': 25, 'collisions': 38}, {'tx': 56, 'success': 26, 'collisions': 30}, {'tx': 134, 'success': 77, 'collisions': 57}, {'tx': 106, 'success': 52, 'collisions': 54}, {'tx': 139, 'success': 71, 'collisions': 68}, {'tx': 104, 'success': 59, 'collisions': 45}, {'tx': 98, 'success': 50, 'collisions': 48}, {'tx': 114, 'success': 59, 'collisions': 55}, {'tx': 89, 'success': 46, 'collisions': 43}]"
7,20,8,1572,767,805,0.5120865139949109,0.48791348600508905,0.6136,"[{'tx': 90, 'success': 45, 'collisions': 45}, {'tx': 34, 'success': 15, 'collisions': 19}, {'tx': 63, 'success': 30, 'collisions': 33}, {'tx': 87, 'success': 38, 'collisions': 49}, {'tx': 99, 'success': 54, 'collisions': 45}, {'tx': 70, 'success': 32, 'collisions': 38}, {'tx': 28, 'success': 9, 'collisions': 19}, {'tx': 60, 'success': 29, 'collisions': 31}, {'tx': 101, 'success': 55, 'collisions': 46}, {'tx': 93, 'success': 40, 'collisions': 53}, {'tx': 100, 'success': 52, 'collisions': 48}, {'tx': 67, 'success': 30, 'collisions': 37}, {'tx': 74, 'success': 34, 'collisions': 40}, {'tx': 69, 'success': 32, 'collisions': 37}, {'tx': 17, 'success': 5, 'collisions': 12}, {'tx': 88, 'success': 42, 'collisions': 46}, {'tx': 92, 'success': 46, 'collisions': 46}, {'tx': 105, 'success': 55, 'collisions': 50}, {'tx': 106, 'success': 54, 'collisions': 52}, {'tx': 129, 'success': 70, 'collisions': 59}]"
8,20,9,1400,705,695,0.49642857142857144,0.5035714285714286,0.6345,"[{'tx': 53, 'success': 20, 'collisions': 33}, {'tx': 65, 'success': 32, 'collisions': 33}, {'tx': 81, 'success': 45, 'collisions': 36}, {'tx': 109, 'success': 62, 'collisions': 47}, {'tx': 120, 'success': 67, 'collisions': 53}, {'tx': 75, 'success': 33, 'collisions': 42}, {'tx': 77, 'success': 45, 'collisions': 32}, {'tx': 61, 'success': 27, 'collisions': 34}, {'tx': 85, 'success': 43, 'collisions': 42}, {'tx': 84, 'success': 37, 'collisions': 47}, {'tx': 105, 'success': 54, 'collisions': 51}, {'tx': 64, 'success': 28, 'collisions': 36}, {'tx': 13, 'success': 2, 'collisions': 11}, {'tx': 35, 'success': 11, 'collisions': 24}, {'tx': 49, 'success': 22, 'collisions': 27}, {'tx': 69, 'success': 37, 'collisions': 32}, {'tx': 108, 'success': 68, 'collisions': 40}, {'tx': 31, 'success': 14, 'collisions': 17}, {'tx': 15, 'success': 3, 'collisions': 12}, {'tx': 101, 'success': 55, 'collisions': 46}]"
9,20,10,1261,633,628,0.4980174464710547,0.5019825535289453,0.633,"[{'tx': 8, 'success': 0, 'collisions': 8}, {'tx': 63, 'success': 33, 'collisions': 30}, {'tx': 88, 'success': 55, 'collisions': 33}, {'tx': 28, 'success': 11, 'collisions': 17}, {'tx': 93, 'success': 49, 'collisions': 44}, {'tx': 18, 'success': 3, 'collisions': 15}, {'tx': 10, 'success': 1, 'collisions': 9}, {'tx': 57, 'success': 34, 'collisions': 23}, {'tx': 70, 'success': 34, 'collisions': 36}, {'tx': 64, 'success': 28, 'collisions': 36}, {'tx': 89, 'success': 46, 'collisions': 43}, {'tx': 79, 'success': 40, 'collisions': 39}, {'tx': 98, 'success': 51, 'collisions': 47}, {'tx': 67, 'success': 35, 'collisions': 32}, {'tx': 79, 'success': 41, 'collisions': 38}, {'tx': 50, 'success': 23, 'collisions': 27}, {'tx': 84, 'success': 38, 'collisions': 46}, {'tx': 71, 'success': 38, 'collisions': 33}, {'tx': 66, 'success': 28, 'collisions': 38}, {'tx': 79, 'success': 45, 'collisions': 34}]"
