,n,L,total_attempts,total_successes,total_collisions,collision_rate,success_rate,throughput,per_node
0,1,1,1207,1207,0,0.0,1.0,0.1207,"[{'tx': 1207, 'success': 1207, 'collisions': 0}]"
1,1,2,1071,1071,0,0.0,1.0,0.2142,"[{'tx': 1071, 'success': 1071, 'collisions': 0}]"
2,1,3,955,955,0,0.0,1.0,0.2865,"[{'tx': 955, 'success': 955, 'collisions': 0}]"
3,1,4,851,851,0,0.0,1.0,0.3404,"[{'tx': 851, 'success': 851, 'collisions': 0}]"
4,1,5,800,800,0,0.0,1.0,0.4,"[{'tx': 800, 'success': 800, 'collisions': 0}]"
5,1,6,738,738,0,0.0,1.0,0.4428,"[{'tx': 738, 'success': 738, 'collisions': 0}]"
6,1,7,699,699,0,0.0,1.0,0.4893,"[{'tx': 699, 'success': 699, 'collisions': 0}]"
7,1,8,648,648,0,0.0,1.0,0.5184,"[{'tx': 648, 'success': 648, 'collisions': 0}]"
8,1,9,596,596,0,0.0,1.0,0.5364,"[{'tx': 596, 'success': 596, 'collisions': 0}]"
9,1,10,558,558,0,0.0,1.0,0.558,"[{'tx': 558, 'success': 558, 'collisions': 0}]"
10,1,11,542,542,0,0.0,1.0,0.5962,"[{'tx': 542, 'success': 542, 'collisions': 0}]"
11,1,12,509,509,0,0.0,1.0,0.6108,"[{'tx': 509, 'success': 509, 'collisions': 0}]"
12,1,13,483,483,0,0.0,1.0,0.6279,"[{'tx': 483, 'success': 483, 'collisions': 0}]"
13,1,14,473,473,0,0.0,1.0,0.6622,"[{'tx': 473, 'success': 473, 'collisions': 0}]"
14,1,15,446,446,0,0.0,1.0,0.669,"[{'tx': 446, 'success': 446, 'collisions': 0}]"
15,1,16,423,423,0,0.0,1.0,0.6768,"[{'tx': 423, 'success': 423, 'collisions': 0}]"
16,1,17,411,411,0,0.0,1.0,0.6987,"[{'tx': 411, 'success': 411, 'collisions': 0}]"
17,1,18,393,393,0,0.0,1.0,0.7074,"[{'tx': 393, 'success': 393, 'collisions': 0}]"
18,1,19,378,378,0,0.0,1.0,0.7182,"[{'tx': 378, 'success': 378, 'collisions': 0}]"
19,1,20,363,363,0,0.0,1.0,0.726,"[{'tx': 363, 'success': 363, 'collisions': 0}]"
20,1,21,349,349,0,0.0,1.0,0.7329,"[{'tx': 349, 'success': 349, 'collisions': 0}]"
21,1,22,334,334,0,0.0,1.0,0.7348,"[{'tx': 334, 'success': 334, 'collisions': 0}]"
22,1,23,328,328,0,0.0,1.0,0.7544,"[{'tx': 328, 'success': 328, 'collisions': 0}]"
23,1,24,319,319,0,0.0,1.0,0.7656,"[{'tx': 319, 'success': 319, 'collisions': 0}]"
24,1,25,308,308,0,0.0,1.0,0.77,"[{'tx': 308, 'success': 308, 'collisions': 0}]"
25,1,26,300,300,0,0.0,1.0,0.78,"[{'tx': 300, 'success': 300, 'collisions': 0}]"
26,1,27,294,294,0,0.0,1.0,0.7938,"[{'tx': 294, 'success': 294, 'collisions': 0}]"
27,1,28,283,283,0,0.0,1.0,0.7924,"[{'tx': 283, 'success': 283, 'collisions': 0}]"
28,1,29,276,276,0,0.0,1.0,0.8004,"[{'tx': 276, 'success': 276, 'collisions': 0}]"
29,1,30,267,267,0,0.0,1.0,0.801,"[{'tx': 267, 'success': 267, 'collisions': 0}]"
30,1,31,260,260,0,0.0,1.0,0.806,"[{'tx': 260, 'success': 260, 'collisions': 0}]"
31,1,32,254,254,0,0.0,1.0,0.8128,"[{'tx': 254, 'success': 254, 'collisions': 0}]"
32,1,33,248,248,0,0.0,1.0,0.8184,"[{'tx': 248, 'success': 248, 'collisions': 0}]"
33,1,34,247,247,0,0.0,1.0,0.8398,"[{'tx': 247, 'success': 247, 'collisions': 0}]"
34,1,35,235,235,0,0.0,1.0,0.8225,"[{'tx': 235, 'success': 235, 'collisions': 0}]"
35,1,36,231,231,0,0.0,1.0,0.8316,"[{'tx': 231, 'success': 231, 'collisions': 0}]"
36,1,37,222,222,0,0.0,1.0,0.8214,"[{'tx': 222, 'success': 222, 'collisions': 0}]"
37,1,38,219,219,0,0.0,1.0,0.8322,"[{'tx': 219, 'success': 219, 'collisions': 0}]"
38,1,39,216,216,0,0.0,1.0,0.8424,"[{'tx': 216, 'success': 216, 'collisions': 0}]"
39,1,40,210,210,0,0.0,1.0,0.84,"[{'tx': 210, 'success': 210, 'collisions': 0}]"
40,1,41,205,205,0,0.0,1.0,0.8405,"[{'tx': 205, 'success': 205, 'collisions': 0}]"
41,1,42,202,202,0,0.0,1.0,0.8484,"[{'tx': 202, 'success': 202, 'collisions': 0}]"
42,1,43,198,198,0,0.0,1.0,0.8514,"[{'tx': 198, 'success': 198, 'collisions': 0}]"
43,1,44,194,194,0,0.0,1.0,0.8536,"[{'tx': 194, 'success': 194, 'collisions': 0}]"
44,1,45,192,192,0,0.0,1.0,0.864,"[{'tx': 192, 'success': 192, 'collisions': 0}]"
45,1,46,187,187,0,0.0,1.0,0.8602,"[{'tx': 187, 'success': 187, 'collisions': 0}]"
46,1,47,183,183,0,0.0,1.0,0.8601,"[{'tx': 183, 'success': 183, 'collisions': 0}]"
47,1,48,181,181,0,0.0,1.0,0.8688,"[{'tx': 181, 'success': 181, 'collisions': 0}]"
48,1,49,180,180,0,0.0,1.0,0.882,"[{'tx': 180, 'success': 180, 'collisions': 0}]"
49,1,50,174,174,0,0.0,1.0,0.87,"[{'tx': 174, 'success': 174, 'collisions': 0}]"
50,1,51,171,171,0,0.0,1.0,0.8721,"[{'tx': 171, 'success': 171, 'collisions': 0}]"
51,1,52,167,167,0,0.0,1.0,0.8684,"[{'tx': 167, 'success': 167, 'collisions': 0}]"
52,1,53,166,166,0,0.0,1.0,0.8798,"[{'tx': 166, 'success': 166, 'collisions': 0}]"
53,1,54,164,164,0,0.0,1.0,0.8856,"[{'tx': 164, 'success': 164, 'collisions': 0}]"
54,1,55,159,159,0,0.0,1.0,0.8745,"[{'tx': 159, 'success': 159, 'collisions': 0}]"
55,1,56,157,157,0,0.0,1.0,0.8792,"[{'tx': 157, 'success': 157, 'collisions': 0}]"
56,1,57,154,154,0,0.0,1.0,0.8778,"[{'tx': 154, 'success': 154, 'collisions': 0}]"
57,1,58,152,152,0,0.0,1.0,0.8816,"[{'tx': 152, 'success': 152, 'collisions': 0}]"
58,1,59,152,152,0,0.0,1.0,0.8968,"[{'tx': 152, 'success': 152, 'collisions': 0}]"
59,1,60,149,149,0,0.0,1.0,0.894,"[{'tx': 149, 'success': 149, 'collisions': 0}]"
60,1,61,146,146,0,0.0,1.0,0.8906,"[{'tx': 146, 'success': 146, 'collisions': 0}]"
61,1,62,143,143,0,0.0,1.0,0.8866,"[{'tx': 143, 'success': 143, 'collisions': 0}]"
62,1,63,143,143,0,0.0,1.0,0.9009,"[{'tx': 143, 'success': 143, 'collisions': 0}]"
63,1,64,140,140,0,0.0,1.0,0.896,"[{'tx': 140, 'success': 140, 'collisions': 0}]"
64,1,65,139,139,0,0.0,1.0,0.9035,"[{'tx': 139, 'success': 139, 'collisions': 0}]"
65,1,66,135,135,0,0.0,1.0,0.891,"[{'tx': 135, 'success': 135, 'collisions': 0}]"
66,1,67,135,135,0,0.0,1.0,0.9045,"[{'tx': 135, 'success': 135, 'collisions': 0}]"
67,1,68,133,133,0,0.0,1.0,0.9044,"[{'tx': 133, 'success': 133, 'collisions': 0}]"
68,1,69,131,131,0,0.0,1.0,0.9039,"[{'tx': 131, 'success': 131, 'collisions': 0}]"
69,1,70,129,129,0,0.0,1.0,0.903,"[{'tx': 129, 'success': 129, 'collisions': 0}]"
70,1,71,128,128,0,0.0,1.0,0.9088,"[{'tx': 128, 'success': 128, 'collisions': 0}]"
